id, N, time_steps, vi_train_time, rl_train_time, model, Ts, Tt, vi_reward, rl_reward, vi_ns, rl_ns, vi_distance, rl_distance, vi_recharges, rl_recharges, distribution, gamma, battery_capacity
0,25,100000,0 days 00:16:36.169070000,0 days 00:00:19.027440000,PPO1,40,100,-13147480.0998,-16500199.0924,3.8786,2.5964,1.315876000000605,2.060279999999775,0.2787,2.5964,uniform,1,250
1,25,100000,0 days 00:25:24.856638000,0 days 00:00:18.497761000,PPO1,40,50,-1823021.7878,-8358488.5892,4.794,4.122,1.217216000000069,3.232924000001291,0.3992,4.122,uniform,1,250
3,25,100000,Not Calculated,0 days 00:00:21.201488000,PPO1,40,100,-13121080.2416,-15818812.216,3.8757,3.3163,1.3162200000006095,2.428572000000967,0.2802,3.3163,uniform,1,250
4,25,100000,Not Calculated,0 days 00:00:23.637552000,PPO1,40,50,-1860972.037,-7348730.9337,4.804,3.9545,1.2162640000000837,2.1902360000007985,0.3985,3.9545,uniform,1,250
6,25,100000,0 days 00:19:28.036417000,0 days 00:03:05.081293000,PPO1,40,100,-887.7046,-16500249.0241,4.9604,3.2367,3.377832000000682,2.3292360000004444,2.2839,3.2367,uniform,1,250
7,25,100000,0 days 00:30:40.856983000,0 days 00:02:28.723857000,PPO1,40,50,-396.1906,-11055201.7314,4.8693,3.8055,2.0319800000005483,3.0077600000007094,0.9577,3.8055,uniform,1,250
9,25,100000,0 days 00:38:37.760216000,0 days 00:02:58.489267000,PPO1,40,50,-396.7116,-10617037.3452,4.8746,3.6716,2.037168000000539,2.8652159999999305,0.9566,3.6716,uniform,1,250
10,25,100000,0 days 00:26:38.035946000,0 days 00:03:28.212643000,PPO1,40,100,-885.4714,-13251357.9648,4.9583,3.0773,3.368580000000733,1.8932000000000069,2.2768,3.0773,uniform,1,250
2,25,1000,0 days 02:30:14.325386000,0 days 00:00:03.202751000,PPO1,1,750,-812.7235,-64666465.0239,12.9805,3.9837,0.8649320000001856,3.8158719999994166,0.1968,3.6262,truncnorm,5,2500
4,25,1000,Not Calculated,Not Calculated,PPO2,1,750,-795.4331,-69353247.9246,13.0391,3.6313,0.8511480000000274,3.6743199999998244,0.1876,3.6313,truncnorm,5,2500
5,25,1000,Not Calculated,Not Calculated,PPO2,1,750,-819.6349,-49898949.9115,13.0879,4.4885,0.872148000000337,3.3872439999998636,0.1984,4.1785,truncnorm,5,2500
5,25,1000,Not Calculated,Not Calculated,PPO2,1,750,-786.3848,-11155.4667,12.9053,5.4962,0.841791999999884,4.93422400000015,0.1854,5.4962,truncnorm,5,2500
7,25,1000,Not Calculated,Not Calculated,PPO2,1,750,-795.9463,-12274.2978,12.9838,6.3228,0.8507560000000031,6.20791599999924,0.1886,6.3228,truncnorm,5,2500
8,25,1000,Not Calculated,Not Calculated,PPO2,1,750,-781.8561,-401.6329,12.8826,12.9559,0.83752399999985,0.5182359999995867,0.1834,0.0,truncnorm,5,2500
10,25,1000,0 days 02:11:36.774082000,Not Calculated,PPO2,1,750,-785.0839,-402.2684,12.9034,12.9764,0.8404999999999109,0.519055999999586,0.1846,0.0,truncnorm,5,2500
12,25,1000,0 days 03:27:09.000634000,Not Calculated,PPO2,5,750,-880.7595,-453.3725,5.9541,12.9535,0.9374520000000531,0.5181399999995868,0.1896,0.0,truncnorm,5,2500
